ind,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
BAR,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.546221761,2.58483955,2.611034266,2.692036215,2.680401962,2.646916639,2.664692876,2.662329126,2.665849466,2.671425234,2.62359623,2.612327977,2.615308819,2.62603459,2.6246795830000003,2.623724925,2.629361326,2.629238725,2.629900638
Alumina Demand,15.320689000000002,20.735471,24.82890881,27.18896699,28.91520898,33.25230107,35.75087572,46.86913829,50.33106566,55.83640482,61.77516637,63.20873601,73.15,70.8179,72.17875500000002,73.9,77.0,79.8,81.3,82.3,82.5,82.9,83.3,83.7,83.9,83.9,83.9
Alumina Imports,6.953235,7.038453,5.093697,4.586207733,5.1408664,4.312312779,1.88087572,5.01913829,3.831065661,5.2764048180000005,4.653557365,2.93230901,2.809690128,0.0,1.378755,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
AA made from import bauxite - MEI data,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,37.71,39.5,41.07,43.13,45.1,49.785,55.2,58.89,61.225,62.6,63.7,63.7
AA from domestic bauxite - MEI data,7.165,10.405097,13.437,16.3516,17.49332196,20.20303857,23.52015466,28.366,32.465,35.3505,39.1405,39.9755,45.79,45.72,38.716,33.19,34.5,35.73,35.67,34.7,30.215,25.2,21.91,19.975,18.8,17.7,17.7
AA made from import bauxite - CBIX US65,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,37.71,39.5,41.48,45.15,48.74,53.635,57.82,60.92,62.325,63.4,64.97,65.38
AA from domestic bauxite - CBIX US65,7.165,10.405097,13.437,16.3516,17.49332196,20.20303857,23.52015466,28.366,32.465,35.3505,39.1405,39.9755,45.79,45.72,38.716,33.19,34.5,35.32,33.65,31.06,26.365,22.58,19.88,18.875,18.0,16.43,16.02
AA made from import bauxite - CBIX US55,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,37.71,43.05,48.27,53.58,56.285,60.025,62.24,63.7,66.05,68.7,69.53,69.9
AA from domestic bauxite - CBIX US55,7.165,10.405097,13.437,16.3516,17.49332196,20.20303857,23.52015466,28.366,32.465,35.3505,39.1405,39.9755,45.79,45.72,38.716,33.19,30.95,28.53,25.22,23.515,19.975,18.16,17.1,15.15,12.7,11.87,11.5
AA made from import bauxite - CBIX US45,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,37.71,53.77,56.01,59.83,64.235,66.95,69.08,70.1,70.5,71.0,71.0,71.0
AA from domestic bauxite - CBIX US45,7.165,10.405097,13.437,16.3516,17.49332196,20.20303857,23.52015466,28.366,32.465,35.3505,39.1405,39.9755,45.79,45.72,38.716,33.19,20.23,20.79,18.97,15.565,13.05,11.32,10.7,10.7,10.4,10.4,10.4
Planned production from imports,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,24.41,24.96,32.084,37.71,39.5,41.07,42.72,43.7,44.1,46.22,47.8,49.5,50.3,50.6,50.6
Domestic BAR Collector,1.829153423,1.931390799,1.985784121,2.043743771,2.091237509,2.127459181,2.1538047280000003,2.176149066,2.204405376,2.230202982,2.272224784,2.310546437,2.3435325380000003,2.3830716830000003,2.42524934,2.442974907,2.487113944,2.531222532,2.514584489,2.599324305,2.541131886,2.600266716,2.579589512,2.623673977,2.645765068,2.6392179540000003,2.667521826
Actual bauxite imports,2.155981268,9.237389292000001,23.17776692,25.88902957,19.791645300000006,30.35901066,45.23409017,40.06615285,71.60850865,36.52008452,56.09999918,52.05039162,68.75856349,82.36493252,100.6628611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stockpile building tonnage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.894825452000001,14.94074504,9.117779817999999,9.108924297,4.620303924,6.3954359510000005,3.803205096,2.50555951,4.03145426,4.555874144,1.426867631,0.636233654
AA made from fly ash capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.36,0.36,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namely Demand by Domestic Capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.31,51.61,52.51,53.31,54.13,55.15,55.23,55.23,55.23,55.23,55.23,55.23,55.23
Demand by Domestic Capacity Aa Capacity n Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.22,34.29,34.9,36.13,36.08,36.1,35.9,34.18,33.0,31.7,31.1,30.8,30.8
Planned Production from Imports by Converted Capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,7.33,7.8,7.9,7.6,7.5,7.4,6.7,6.7,6.6,6.6,6.6,6.6
Inland blending Aa Capacity n Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.504,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blended BAR,1.929693278636581,2.0751958608619203,2.159496439878249,2.1782077660822066,2.2071417334123966,2.248966865270289,2.268762014268264,2.2901363190306356,2.307233270337168,2.334362415447058,2.376758085594734,2.439048190341296,2.4604359022286038,2.4760619414264338,2.5337564926698306,2.5596441255964737,2.591094541595946,2.6193421208742182,2.5887069392890862,2.6084961305453636,2.5967877660415626,2.620214383633831,2.6151370060928216,2.6237154193078815,2.631920632184275,2.6306939270667073,2.6352156707027032
AA made from fly ash - CBIX US65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.36,0.36,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA made from fly ash - CBIX US55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.36,0.36,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA made from fly ash - CBIX US45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.36,0.36,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
