Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
Chalco Boffa,34.8,0,35.756028317358634,0
Alufer (Bel Air),9.269999999999996,39.627031686400215,0,0
Weipa,17.200000000000006,22.33480543800381,0,0
Gove,7.599999999999999,19.611729077110013,0,0
AMR,0.0,47.76858155959108,0,0
Gujarat & Maharashtra,0.0,38.95362950506871,0,0
West Kalimantan,0.0,34.204920893329806,0,0
Henan-Chine,10.000000000000009,42.22451929846281,0,0
Kuantan & Johor,0.0,43.84817300383657,0,0
Aurum Xinfa-Fiji,0.0,0,33.2712159849755,0
Dom. Rep.,0.0,49.96246626038899,0,0
Discovery Bay,0.0,58.77058605244403,0,0
Awaso,0.3000000000000066,0,55.78476509601353,0
CBG,10.499999999999996,38.3363371525344,0,0
AMC,10.0,46.35468803176464,0,0
GAC,3.0,35.41368579951988,0,0
Solomon Islands,1.5999999999999972,37.58586631671756,0,0
Metallica,0.0,32.128443918311724,0,0
Aurukun,0.0,30.230189832499622,0,0
Metro LT,0.0,26.171150744111,0,0
MRN,0.0,47.336188677237885,0,0
Juruti,1.8000000000000016,44.025366648116204,0,0
Mirai,0.0,67.30933317258314,0,0
Metro BH1,0.0,26.171150744111,0,0
Amrun,0.0,28.183557443811463,0,0
Rondon do Para,0.0,71.24149955375931,0,0
Huntly,7.000000000000003,29.861300862570786,0,0
Vietnam,1.000000000000001,25.170795130584374,0,0
SMB Malapouya-Boké,0.0,44.33780733861255,0,0
Rundi,0.0,47.109870275221574,0,0
Metro Blend,5.3999999999999915,26.171150744111,0,0
Dabiss N,0.0,0.0,0,0
Amrun,10.879999999999995,28.183557443811463,0,0
Metro BH1 Xinfa,0.0,0,0,26.171150744111
Dian Dian,3.0000000000000027,36.67046499423228,0,0
Dynamic,9.000000000000009,37.39243861165606,0,0
Other,0.500000000000001,39.53508678257223,0,0
GDM,2.0000000000000075,45.53981432330834,0,0
Ashapura Guinea,0.0,52.33295930350975,0,0
SMB Kaboye,0.0,45.782698087932914,0,0
SMB Dabiss S,0.0,49.85047982286161,0,0
Weiqiao Self Supply,0.0,0.0,0,0
AGB2A,9.000000000000018,42.999860635399244,0,0
Mokanji,0.0,59.139017877067225,0,0
SMB Santou-Houda,1.2040864726907257,41.81263059941715,0,0
SPIC,7.500000000000003,0,48.411911430709154,0
Henan-Chine,0.0,0,42.22451929846281,0
SMB Malapouya-Boké,0.0,0,44.33780733861255,0
AMR,0.0,0,47.76858155959108,0
GDM,0.0,0,45.53981432330834,0
Ashapura Guinea,0.0,0,52.33295930350975,0
SMB Kaboye,0.0,0,45.782698087932914,0
SMB Dabiss S,0.0,0,49.85047982286161,0
SMB Santou-Houda,34.552565541142684,0,41.81263059941715,0
